English,Hindi,Gujarati,Marathi,Kannada,Malayalam,Tamil,Telugu,Bengali,Assamese,Punjabi,Odia
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}"
Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:,Poshan Helpline:
14408,14408,14408,14408,14408,14408,14408,14408,14408,14408,14408,14408
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र),ABHA (હેલ્થ ID),आरोग्य आयडी,ಎಬಿಹೆಚ್ಎ (ಆರೋಗ್ಯ ID),ABHA (ഹെൽത്ത് ഐഡി),ABHA (சுகாதார ஐடி),ABHA (హెల్త్ ఐడి),ABHA (স্বাস্থ্য আইডি),ABHA (হেল্থ আইডি),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ),ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID)
Language,भाषा,ભાષા,भाषा,ಭಾಷೆ,ഭാഷ,மொழி,భాష,ভাষা,ল্যাঙ্গুয়েজে,ਭਾਸ਼ਾ,ଭାଷା
English,English,English,English,English,English,English,English,English,English,English,English
हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी
ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી,ગુજરાતી
