English,हिंदी,ગુજરાતી,મરાઠી,ಕನ್ನಡ,മലയാളം,தமிழ்,తెలుగు,বাংলা,অসমীয়া,ਪੰਜਾਬੀ,ଓଡ଼ିଆ,नेपाली,डोगरी,कोंकणी,सिंधी,बोडो,मैथिली,মণিপুরী,संथाली,اردو,کٲشُر
About,के बारे में,વિશે,विषयी,ಬಗ್ಗೆ,കുറിച്,பற்றி,గురించి,বিষয়,ইয়াৰ বিষয়ে,ਦੇ ਬਾਰੇ,ବିଷୟରେ,को बारेमा,अबाउट,ताचे विशीं,जे बारे में,सोमोन्दै,लगभग,মরমদা,बाबोत् ते,کے بارے میں,متعلق
Resources,स्रोत,સંસાધનો,संसाधने,ಸಂಪನ್ಮೂಲಗಳು,വിഭവങ്ങൾ,வளங்கள்,వనరులు,সংস্থান,সমল,ਸਰੋਤ,ଉତ୍ସଗୁଡ଼ିକ,संसाधन,साधन,संसाधन,वसीला,फुंखाफोर,साधन,রিসোর্সশিং,सोत को,ذرائع وسائل,ذرایع
Resources,स्रोत,સંસાધનો,संसाधने,ಸಂಪನ್ಮೂಲಗಳು,വിഭവങ്ങൾ,வளங்கள்,వనరులు,সংস্থান,সমল,ਸਰੋਤ,ଉତ୍ସଗୁଡ଼ିକ,संसाधन,साधन,संसाधन,वसीला,फुंखाफोर,साधन,রিসোর্সশিং,सोत को,ذرائع وسائل,ذرایع
Vaccination Schedule,टीकाकरण सूची,રસીકરણ શેડ્યૂલ,लसीकरण वेळापत्रक,ವ್ಯಾಕ್ಸಿನೇಷನ್ ವೇಳಾಪಟ್ಟಿ,വാക്സിനേഷൻ ഷെഡ്യൂൾ,தடுப்பூசி அட்டவணை,వ్యాక్సినేషన్ షెడ్యూల్,টিকা দেওয়ার সময়সূচী,টিকাকৰণৰ সূচী,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ,ଟୀକାକରଣ ସୂଚୀ,खोप अनुसूची,वक्सीनशन दा सचेडूले,लसीकरण वेळापत्रक,टीकाकरण जो शेड्यूल,टिका होनाय समनि फारिलाइ,टीकाकरण अनुसूची,তিকা থাদোকপগী মতম,टिका एम कामी होरा,ویکسینیشن شیڈول,ویکسینیشن شیڈول
Dashboard,डैशबोर्ड,ડેશબોર્ડ,डॅशबोर्ड,ಡ್ಯಾಶ್ ಬೋರ್ಡ್,ഡാഷ്ബോർഡ്,டாஷ்போர்டு,డాష్బోర్డ్,ড্যাশবোর্ড,ডেশ্ববৰ্ড,ਡੈਸ਼ਬੋਰਡ,ଡ୍ୟାସବୋର୍ଡ,ड्यासबोर्ड,डैशबोर्ड,डॅशबोर्ड,डैश्बोर्ड,ड्यासबोर्ड,डैशबोर्ड,ড্যাশবোর্ড,डेशबोर्ड,ڈیش بورڈ,ڈیش بورڑ
Dashboard,डैशबोर्ड,ડેશબોર્ડ,डॅशबोर्ड,ಡ್ಯಾಶ್ ಬೋರ್ಡ್,ഡാഷ്ബോർഡ്,டாஷ்போர்டு,డాష్బోర్డ్,ড্যাশবোর্ড,ডেশ্ববৰ্ড,ਡੈਸ਼ਬੋਰਡ,ଡ୍ୟାସବୋର୍ଡ,ड्यासबोर्ड,डैशबोर्ड,डॅशबोर्ड,डैश्बोर्ड,ड्यासबोर्ड,डैशबोर्ड,ড্যাশবোর্ড,डेशबोर्ड,ڈیش بورڈ,ڈیش بورڑ
Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क,હેલ્પડેસ્ક,हेल्पडेस्क,ಸಹಾಯವಾಣಿ,ഹെൽപ്പ് ഡെസ്ക്,உதவி மேசை,హెల్ప్ డెస్క్,হেল্পডেস্ক,হেল্পডেস্ক,ਹੈਲਪਡੈਸਕ,ସହାୟତା ଡେସ୍କ,सहायता केन्द्र,हेल्पडेस्क,मदत डेस्क,हेल्पडेस्क,हेल्पडेस्क,हेल्पडेस्क,হেল্পডেস্ক,गोड़ो तालमा,ہیلپ ڈیسک,مدتٕچ جاے
Beneficiary Redressal,लाभार्थी निवारण/उपाय,લાભાર્થી અસંતોષ નિવારણ,लाभार्थी निवारण,ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡುವ ಪರಿಹಾರ,ഗുണഭോക്താക്കളുടെ പരിഹാരം,பயனாளிகளின் தீர்வு,లబ్ధిదారుని పరిహారము,সুবিধাভোগী প্রতিকার,হিতাধিকাৰীৰ প্ৰতিবিধান,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ,ହିତାଧିକାରୀ ପ୍ରତିକାର,हितग्राही निवारण,लाभ लेने अला निवारण,लाभार्थी निवारण,हितभागी जो निस्तार,मुलाम्फायारिनि फोसाबनाय,लाभार्थी निवारण,বেনিফিসরী রিদ্রেসেল,लाब ञाम कोवाक् सात होचो,فائدہ اٹھانے والے کا ازالہ,فائدہ تلن والین ہندہ باپتھ ازالہ
State Helpdesk,राज्य सहायता केंद्र,રાજ્ય હેલ્પડેસ્ક,राज्य मदत कक्ष,ರಾಜ್ಯ ಸಹಾಯವಾಣಿ ಕೇಂದ್ರ,സംസ്ഥാന സഹായകേന്ദ്രം,மாநில உதவி மையம்,స్టేట్ హెల్ప్ డెస్క్,রাজ্য হেল্পডেস্ক,ৰাজ্যিক হেল্পডেস্ক,ਸਟੇਟ ਹੈਲਪਡੈਸਕ,ରାଜ୍ୟ ସହାୟତା,राज्य सहायता डेस्क,स्टेट दा हेल्पडेस्क,राज्या आदारकक्ष,राज्य हेल्पडेस्क,रायजो हेल्पडेस्क,राज्य मदतिकेंद्र,রাজ্যগী হেল্পদেস্ক,पोनोत हेल्पडेस्क,اسٹیٹ ہیلپ ڈیسک,ریاستی ہیلپ ڈسک
