Language,HuggingFace_BLEU,HuggingFace_CHRF
English,100.00000000000004,100.0
Hindi,32.18836097764979,51.31755763353836
Gujarati,29.88601319615222,49.510539665300996
Marathi,26.971915717626146,46.78613755277416
Kannada,25.29982422753723,44.039134699163796
Malayalam,22.68036517658716,46.98957342259422
Tamil,25.387703118575793,44.41850528448158
Telugu,31.47308900222462,50.86901048395976
Bengali,27.45113189172642,48.25430064794214
Assamese,29.39365057582693,49.31904268200963
Punjabi,28.64337378357812,49.691875474229576
Odia,27.74122107913006,46.78205981556331
